Name,Genus Authority Author,Genus Authority Date,Strata
,"Caieiria: J.C.G. Silva Jr, A.G. Martinelli, T.S. Marinho, J.I. da Silva & M.C. Langer, 2022",,
,"Caihong: Hu D-Y, J.A. Clarke, C.M. Eliason, Qiu R, Li Q-G, M.D. Shawkey, Zhao C-L, L. D'Alba, Jiang J-K & Xu X, 2018",,
,"Calamosaurus: R. Lydekker, 1891 [nomen dubium]",,
,"Calamospondylus: W.D. Fox vide [Anonymous], 1866 [nomen dubium]",,
,"Calamospondylus: R. Lydekker, 1889 / W.D. Fox vide [Anonymous], 1866 → Calamosaurus",,
,"Callovosaurus: P.M. Galton, 1980",,
,"Camarasaurus: E.D. Cope, 1877",,
,"Camarillasaurus: B. Sánchez-Hernández & M.J. Benton, 2012 [online publication, published in 2014]",,
,"Camelotia: P.M. Galton, 1985",,
,"Camposaurus: A.P. Hunt, S.G. Lucas, Heckert, R. Sullivan & Lockley, 1998",,
,"Camptonotus: O.C. Marsh, 1879 / Uhler, 1864 → Camptosaurus",,
,"Camptosaurus: O.C. Marsh, 1885",,
,"Campylodon: F. von Huene, 1929 / G. Cuvier & A. Valenciennes, 1832 → Campylodoniscus",,
,"Campylodoniscus: Kuhn, 1961 [nomen dubium]",,
,"Canardia: A. Prieto-Márquez, F.M. Dalla Vecchia, R. Gaete & A. Galobart, 2013",,
,"""Capitalsaurus"": Kranz, 1998 [nomen nudum]",,
,"Carcharodontosaurus: E. Stromer, 1931",,
,"Cardiodon: R. Owen, 1841 [nomen dubium; PSS → Cetiosaurus]",,
,"Carnosaurus: F. von Huene, 1929 [nomen nudum]",,
,"Carnotaurus: J.F. Bonaparte, 1985",,
,"Caseosaurus: A.P. Hunt, S.G. Lucas, Heckert, R. Sullivan & Lockley, 1998",,
,"Cathartesaura: P.A. Gallina & S. Apesteguía, 2005",,
,"Cathetosaurus: J.A. Jensen, 1988 [PSS → Camarasaurus]",,
,"Caudipteryx: Ji Q, P.J. Currie, M.A. Norell & Ji S, 1998",,
,"Caudocoelus: F. von Huene, 1932 [JOS → Teinurosaurus]",,
,"Caulodon: E.D. Cope, 1877 [JSS → Camarasaurus]",,
,"Cedarosaurus: Tidwell, K. Carpenter & Brooks, 1999",,
,"Cedarpelta: K. Carpenter, J.I. Kirkland, Burge & J. Bird, 2001",,
,"Cedrorestes: Gilpin, DiCroce & K. Carpenter, 2006",,
,"Centrosaurus: Lambe, 1904 / L.J. Fitzinger, 1843 → Eucentrosaurus",,
,"Cerasinops: Chinnery & J.R. Horner, 2007",,
,"Ceratonykus: V.R. Alifanov & R. Barsbold, 2009",,
,"Ceratops: O.C. Marsh, 1888 / C.S. Rafinesque, 1815 → Proceratops [nomen dubium]",,
,"Ceratosaurus: O.C. Marsh, 1884",,
,"Ceratosuchops: C.T. Barker, D.W.E. Hone, D. Naish, A. Cau, J.A.F. Lockwood, B. Foster, C.E. Clarkin, P. Schneider & N.J. Gostling, 2021",,
,"Cetiosauriscus: F. von Huene, 1927",,
,"Cetiosaurus: R. Owen, 1841",,
,"Changchunsaurus: Zan S-Q, Chen J, Jin L-Y. & Li T, 2005",,
,"Changmiania: Yang Y-Q, Wu W-H, P-E Dieudonné & P. Godefroit, 2020",,
,"Changtusaurus: Zhao X, 1983 [nomen nudum]",,
,"Changyuraptor: Han G, L.M. Chiappe, Ji S-A, M. Habib, A.H. Turner, A. Chinsamy, Liu X. & Han L, 2014",,
,"Chaoyangsaurus: Zhao X, Cheng Z. & Xu X, 1999",,
,"Charonosaurus: P. Godefroit, Zan & Jin L-Y, 2000",,
,"Chasmosaurus: Lambe, 1914",,
,"Chassternbergia: R.T. Bakker, 1988",,
,"Chebsaurus: Mahammed, Läng, Mami, Mekahli, Benhamou, Bouterfa, Kacemi, Chérief, Chaouati & P. Taquet, 2005",,
,"Chenanisaurus: N.R. Longrich, X. Pereda-Suberbiola, N-E Jalil, F. Khaldoune & E. Jourani, 2017",,
,"Cheneosaurus: Lambe, 1917 [JSS → Hypacrosaurus]",,
,"Chialingosaurus: Yang Z.J. (as Young C.C.), 1959",,
,"Chiayusaurus: B. Bohlin, 1953 [nomen dubium]",,
,"Chihuahuasaurus: Ratkevich vide [Anonymous], 1997 [nomen nudum → Sonorasaurus]",,
,"Chilantaisaurus: Hu S, 1964",,
,"Chilesaurus: F.E. Novas, L. Salgado, M. Suárez, F.L. Agnolín, M.D. Ezcurra, N.R. Chimento, R. de la Cruz, M.P. Isasi, A.O. Vargas & D. Rubilar-Rogers, 2015",,
,"Chindesaurus: R.A. Long & Murry, 1995",,
,"Chingkankousaurus: Yang Z.J. (as Young C.C.), 1958 [JSS → Tarbosaurus]",,
,"Chinshakiangosaurus: Yeh, 1975 vide Dong Z-M, 1992 vide P. Upchurch, P.M. Barrett, Zhao X. & Xu X, 2007",,
,"Chirostenotes: Gilmore, 1924",,
,"Choconsaurus: E. Simón, L. Salgado & J.O. Calvo, 2017",,
,"Chondrosteosaurus: R. Owen, 1876 [nomen dubium]",,
,"Choyrodon: T.A. Gates, Tsogtbaatar K, L.E. Zanno, Chinzorig T. & M. Watabe, 2018",,
,"Chromogisaurus: M.D. Ezcurra, 2010",,
,"Chuandongocoelurus: He X, 1984",,
,"Chuanjiesaurus: Fang, Pang, Lü J-C, Zhang Z, Pan S, Wang Y, Li X-K. & Cheng Z, 2000",,
,"Chuanqilong: Han F, Zheng W, Hu D, Xu X & P.M. Barrett, 2014",,
,"Chubutisaurus: del Corro, 1974",,
